Density;Diameter;Radius;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic index
0.08571;5;5;5.67209;2.39496;-2.67209;0.60504;7;1;10;15;3
0.08571;6;5;5.73867;2.04;-2.73867;0.6096;7;1;10;16;3
0.08571;5;5;5.67456;2.39457;-2.67456;0.60543;7;1;10;15;3
0.08571;5;5;5.63963;2.41509;-2.63963;0.58491;7;1;10;15;3
0.08571;6;5;5.65116;2.39362;-2.65116;0.60638;7;1;10;15;3
0.08571;6;5;5.61234;2.38766;-2.65597;0.61234;7;1;10;15;3
0.08571;5;5;5.72743;2.44084;-2.72743;0.55916;7;1;10;16;3
0.08571;6;4;5.71321;2.40043;-2.71321;0.59957;7;1;10;16;3
0.08571;6;4;5.71331;2.40885;-2.71331;0.59115;7;1;10;16;3
0.08571;5;4;5.70311;2.39935;-2.70311;0.60065;7;1;10;16;3
0.08571;5;4;5.67451;2.39555;-2.67451;0.60445;7;1;10;15;3
0.08571;5;4;5.70623;2.54;-2.70623;0.6046;7;1;10;15;3
0.08571;5;5;5.66315;2.39981;-2.66315;0.60019;7;1;10;15;3
0.08571;5;4;5.68719;2.13;-2.68719;0.5987;7;1;10;16;3
0.08571;5;5;5.71709;2.40454;-2.71709;0.59546;7;1;10;16;3
0.08571;5;5;5.69104;2.39914;-2.69104;0.60086;7;1;10;15;3
0.08571;5;4;5.69058;2.40013;-2.69058;0.59987;7;1;10;16;3
0.08571;5;4;5.65677;2.77;-2.65677;0.6023;7;1;10;16;3
0.08571;5;4;5.67951;2.40214;-2.67951;0.59786;7;1;10;15;3
0.08571;5;4;5.708;2.40105;-2.708;0.59895;7;1;10;15;3
0.08571;6;5;5.62916;2.39728;-2.62916;0.60272;7;1;10;15;3
0.08571;6;4;5.67191;2.39735;-2.67191;0.60265;7;1;10;15;3
0.08571;6;4;5.73934;2.39663;-2.73934;0.60337;7;1;10;16;3
0.08571;6;5;5.69145;2.77624;-2.69145;0.22376;5;1;10;15;4
0.08571;6;5;5.08;2.77124;-2.6508;0.22876;5;1;10;15;4
0.08571;7;5;5.64393;2.77325;-2.64393;0.22675;5;1;10;15;4
0.08571;6;5;5.68599;2.77081;-2.68599;0.22919;5;1;10;15;4
0.08571;7;5;5.69558;2.76817;-2.69558;0.23183;5;1;10;15;4
